Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
22392992790,Batedor Misturador Mixer Elétrico para Bebidas Leite Café Clara de Ovo 2 em 1,"18,99",200mil+,Isabela Top,13%,"R$2,47",https://shopee.com.br/product/415175805/22392992790,https://s.shopee.com.br/9Ki0SuQi9k
23494388583,Kit 20 Cheirinho de carro Aromatizador Cheirinho Para Carro Pinheiro Sortidos,"21,97",30mil+,BECKER AUTO SHOP,13%,"R$2,86",https://shopee.com.br/product/1622801881/23494388583,https://s.shopee.com.br/9V1QfDQ4on
22394412338,Fita Dupla Face Extra Forte Transparente NanoGel Silicone Mágica Adesiva Cola na Parede Móvel Porta,"12,89",200mil+,Good Vibes Moment Variedade Mochila,3%,"R$0,39",https://shopee.com.br/product/392260640/22394412338,https://s.shopee.com.br/9fKqrWPRTq
22491618254,Fone Bluetooth Sem Fio De Ouvido  P9 TWS Macaron Headphone Fone de Ouvido  Envio Imediato,"22,99",100mil+,lojamegas,7%,"R$1,61",https://shopee.com.br/product/872424585/22491618254,https://s.shopee.com.br/9peH3pOo8t
22298716184,TOYADENT PRO Escova de Dental Com Cerdas Premium Alemãs da Pedex +Capa Protetora,"17,90",80mil+,Toya Corp,9%,"R$1,61",https://shopee.com.br/product/1577747933/22298716184,https://s.shopee.com.br/qjSLHx4PA
29180447005,Lençol Protetor Ajustável Macio e Impermeável Avulso Para Colchão Berço Solteiro Casal Queen e King,"19,95",90mil+,Flávia Tex,28%,"R$5,59",https://shopee.com.br/product/297434547/29180447005,https://s.shopee.com.br/gQ28yxhk9
20199713818,Monitor De Pressão Arterial De Pulso Recarregável Alta XYY-2551,"39,89",20mil+,Isabela Top,13%,"R$5,19",https://shopee.com.br/product/415175805/20199713818,https://s.shopee.com.br/1BMIjtvnjG
58251518778,Mini Máquina Seladora De Embalagem 2 em 1 Recarregável 5v Bivolt,"12,99",10mil+,zapshop2,9%,"R$1,17",https://shopee.com.br/product/1630740918/58251518778,https://s.shopee.com.br/112sXawR4F
19630893347,Camisola Sexy sem Bojo Sensual Costas Abertas Com Calcinha Regulável,"28,40",70mil+,Lisbela Modas,18%,"R$5,11",https://shopee.com.br/product/709759573/19630893347,https://s.shopee.com.br/BTlY3zbl6
22298731270,Deo Colônia Infantil Cebolinha 25ml Turma da Mônica Perfume Menino Fougére Refrescante Dia a Dia,"17,91",100mil+,Meucheckoutoficial,3%,"R$0,54",https://shopee.com.br/product/821115255/22298731270,https://s.shopee.com.br/1ALLl0F65
